CHROM	POS	SVTYPE	END	Similarity	AlleleID	HGNC_ID	ClinicalSignificance	PhenotypeList
18	31314008	Microsatellite	31314034	100.0	1259653	HGNC:29357	Benign	-
19	43690009	Insertion	43690053	0.0	156887	-	Benign	-
19	55671134	Deletion	55671171	100.0	1173297	HGNC:30492	Benign	-
19	53116933	Deletion	53117017	100.0	705225	HGNC:13158	Benign	-
19	50795772	Deletion	50795818	100.0	1267669	HGNC:23212	Benign	-
19	50752815	Microsatellite	50752836	100.0	1212607	HGNC:23212	Benign	-
19	46273462	Microsatellite	46273507	0.0	961920	HGNC:2933	Benign	Steinert myotonic dystrophy syndrome
19	46273462	Microsatellite	46273489	0.0	961920	HGNC:2933	Benign	Steinert myotonic dystrophy syndrome
19	38993424	Deletion	38993454	100.0	1253491	HGNC:10483	Benign	-
19	5691987	Duplication	5692016	100.0	1247078	HGNC:9479	Benign	-
19	14070706	Duplication	14070726	100.0	778497	HGNC:25095	Benign	-
19	11322234	Microsatellite	11322271	100.0	1253599	HGNC:19189	Benign	-
19	7595050	Deletion	7595070	100.0	1253518	HGNC:13356	Benign	-
19	6710430	Deletion	6710452	100.0	1256649	HGNC:1318	Benign	-
19	5708484	Duplication	5708581	4.0	1257639	HGNC:9479	Benign	-
19	5131560	Microsatellite	5131887	0.61	1087468	HGNC:29136	Pathogenic	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 65
19	4123551	Microsatellite	4123577	100.0	1249770	HGNC:6842	Benign	-
19	4123543	Microsatellite	4123569	7.14	1249770	HGNC:6842	Benign	-
19	33349674	Microsatellite	33349694	61.76	1285343	HGNC:11067	Benign	-
20	61462003	Insertion	61462252	21.58	1220510	HGNC:2219	Benign	-
20	62561037	Duplication	62561063	100.0	1220358	HGNC:16235	Benign	-
20	62046769	Deletion	62046810	66.67	669215	HGNC:6296	Benign	-
20	61991259	Microsatellite	61991296	47.37	1286237	HGNC:1958	Benign	-
20	60907982	Microsatellite	60908009	44.44	1264816	HGNC:6485	Benign	-
20	61991255	Microsatellite	61991281	56.52	1286237	HGNC:1958	Benign	-
20	60866882	Microsatellite	60866912	100.0	1235725	HGNC:15761	Benign	-
20	60866874	Microsatellite	60866933	68.13	1235725	HGNC:15761	Benign	-
20	33588698	Deletion	33588720	100.0	778678	HGNC:15906	Benign	-
20	30250848	Microsatellite	30250926	100.0	1038761	HGNC:992	Uncertain significance	-
20	18535590	Microsatellite	18535620	100.0	1269385	HGNC:10702	Benign	-
20	2633378	Microsatellite	2633402	7.69	131984	HGNC:15911	Benign	Spinocerebellar ataxia 36
20	60907982	Microsatellite	60908003	53.33	1264816	HGNC:6485	Benign	-
21	47754471	Insertion	47754510	97.5	800183	HGNC:16068	Benign	Microcephalic osteodysplastic primordial dwarfism type II
21	47540039	Duplication	47540096	3.39	670499	HGNC:2212	Benign	-
21	47410379	Insertion	47410568	1.05	1210767	HGNC:2211	Benign	-
21	47410353	Insertion	47410419	20.25	852405	HGNC:2211	Uncertain significance	Bethlem myopathy 1
21	47409912	Microsatellite	47409946	100.0	1282705	HGNC:2211	Benign	-
21	47407708	Deletion	47407894	0.0	670663	HGNC:2211	Benign	-
21	46930865	Deletion	46930923	100.0	1237571	HGNC:2195	Benign	-
21	46930865	Deletion	46930901	100.0	1237571	HGNC:2195	Benign	-
21	46927370	Deletion	46927412	100.0	1263991	HGNC:2195	Benign	-
21	47417051	Deletion	47417114	100.0	670478	HGNC:2211	Benign	-
21	46825202	Duplication	46825259	9.84	1279628	HGNC:2195	Benign	-
21	46825001	Deletion	46825034	100.0	1262232	HGNC:2195	Benign	-
21	45815583	Deletion	45815623	100.0	1277681	HGNC:12339	Benign	-
21	45815567	Deletion	45815617	0.0	1277681	HGNC:12339	Benign	-
21	44478097	Deletion	44478128	100.0	669332	HGNC:1550	Benign	-
21	43897120	Deletion	43897235	100.0	1240133	HGNC:12371	Benign	-
21	43897083	Microsatellite	43897116	100.0	1223604	HGNC:12371	Benign	-
21	43897065	Microsatellite	43897632	0.35	1223604	HGNC:12371	Benign	-
21	36042462	Deletion	36042492	100.0	705666	HGNC:2065	Benign	-
21	46910397	Insertion	46910482	4.49	1248139	HGNC:2195	Benign	-
22	44642734	Insertion	44642767	0.0	804707	-	Uncertain significance	-
22	37268665	Deletion	37268713	100.0	1273121	HGNC:7662	Benign	-
22	31012012	Microsatellite	31012040	100.0	1251917	HGNC:11653	Benign	-
22	32899811	Insertion	32899853	100.0	1038829	HGNC:13586	Uncertain significance	-
22	26317669	Microsatellite	26317689	100.0	1268688	HGNC:18150	Benign	-
22	24176677	Microsatellite	24176700	100.0	1238954	HGNC:11103	Benign	-
22	17663666	Microsatellite	17663693	100.0	982244	HGNC:1839	Benign	none provided;Polyarteritis nodosa, childhoood-onset
22	26879946	Microsatellite	26879967	100.0	390411	HGNC:15844	Benign	-
X	387376	Insertion	387872	0.0	673996	-	Uncertain significance	-
X	878086	Deletion	879166	0.0	672800	-	Uncertain significance	-
X	10180877	Duplication	10180903	20.0	1283137	HGNC:2022	Benign	-
X	30811558	Insertion	30811636	0.0	608160	-	Benign	-
X	32470399	Deletion	32470545	0.0	1265221	HGNC:2928	Benign	-
X	32470410	Deletion	32470451	100.0	1265221	HGNC:2928	Benign	-
X	34148805	Microsatellite	34148844	100.0	706221	HGNC:29962	Benign	-
X	41057619	Deletion	41057684	100.0	1260775	HGNC:12632	Benign	-
X	70352617	Microsatellite	70352647	11.76	1210849	HGNC:11957	Benign	-
X	77086467	Microsatellite	77086487	100.0	1286183	HGNC:28880	Benign	-
X	146993599	Microsatellite	146993632	21.05	1262260	HGNC:3775	Benign	-
X	147582157	Microsatellite	147582184	6.9	25565	HGNC:3776	Pathogenic	FRAXE
